channelId,title,description,customUrl,subscribers,views,videos,hiddenSubscribers,publishedAt,country,defaultLanguage,keywords,uploadsPlaylistId,topics,query
UCcL3kavvylguCWfh9Ma1w0g,ANNUTANNU - arendavad videod lastele eesti keeles,"Lõbusad, harivad, arendavad videod lastele (eesti keeles). Õppimine läbi mängu. Eestikeelsed laulud. ",@annutannu,1440,392921,23,False,2021-01-26T11:11:27.975035Z,EE,,,UUcL3kavvylguCWfh9Ma1w0g,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Hobby",eesti keeles
UCJZqPyfUdhsgEdX3-he3ZVQ,Mart Nöps,www.germandia.ee,@germinaator,58,216795,481,False,2007-04-02T12:09:04Z,,,,UUJZqPyfUdhsgEdX3-he3ZVQ,"https://en.wikipedia.org/wiki/Sport, https://en.wikipedia.org/wiki/Lifestyle_(sociology)",eesti korvpall
UCAM1gihWeS1QMeVrVpFMiCA,We Pole Dance Studio,"Pole dance studio in Tallinn, Estonia.
Pärnu mnt 142
wepoledance.ee",@tallinnwepoledance,31,2148,9,False,2013-05-18T13:57:37Z,,,,UUAM1gihWeS1QMeVrVpFMiCA,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Hobby, https://en.wikipedia.org/wiki/Performing_arts",eesti kultuur
UCNbFuEVdoHJjDPZauD8vYcQ,Grace Bible Church Tallinn,English Speaking Bible-Based gospel centred church in Tallinn Estonia ,@gbctallinn,29,546,17,False,2025-05-26T09:27:22.036796Z,,,,UUNbFuEVdoHJjDPZauD8vYcQ,"https://en.wikipedia.org/wiki/Religion, https://en.wikipedia.org/wiki/Society",tallinn
UCTBH6WzgsocAFLED9rDLkVw,kodusoojaks. ee,"www.kodusoojaks.ee

Müüme, paigaldame ja hooldame nii õhu-, vee- kui ka maaenergial toimivaid kütteseadmeid. Jahutame alates klassikalisest freooni baasil toimivast konditsioneerist kuni vee baasil toimiva jahutussüsteemini. Ventilatsoonilahendusi pakume alates klassikalisest õhuvahetusest kuni passiivmaja sertifikaadiga ja niiskustagastusega seadmeteni. Lisaks pakume erinevaid tarbevee- ja akumulatsioonipaake ning niisutus- ja päikeseenergia lahendusi.

Esindame brände Samsung, TML, EcoForest j",@kodusoojaks7847,12,12427,61,False,2019-10-13T19:20:29.921806Z,,,,UUTBH6WzgsocAFLED9rDLkVw,"https://en.wikipedia.org/wiki/Technology, https://en.wikipedia.org/wiki/Lifestyle_(sociology)",eesti tech
UCiOEEQViOq96JoeRwEktCeA,Svjata Vatra - Topic,,,244,120078,109,False,2013-12-23T07:10:52Z,,,,UUiOEEQViOq96JoeRwEktCeA,https://en.wikipedia.org/wiki/Music,eesti rahvamuusika
UCk8rb0VHXEBi6TEHtC5GArw,minecraft gaming,,@minecraftgaming-nb9ib,19,4133,4,False,2014-09-22T10:05:01Z,,,,UUk8rb0VHXEBi6TEHtC5GArw,"https://en.wikipedia.org/wiki/Role-playing_video_game, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Action-adventure_game",eesti gaming
UCYVAolmELF8jVRm-UBMEKoQ,Tartu Rakenduslik Kolledž,"Pole vahet, kas tuled otse koolipingist või oled aastaid hoogu võtnud, et oma unistusi täita. VOCOst saad oskused ja julguse teha just seda, mida Sina tahad. Oska, mida iganes ja ole lihtsalt osavam! Leia (uus) armastus voco.ee",@kutseharidus,420,372593,185,False,2009-04-06T05:10:27Z,EE,,"kutseõpe ""täiskasvanute koolitus"" täiendkoolitus autokool firstjob ümberõpe karjäärninõustamine",UUYVAolmELF8jVRm-UBMEKoQ,https://en.wikipedia.org/wiki/Lifestyle_(sociology),tartu
UC9HGtxPEyaMCg-Yapj5c0vA,ChrisPoiss,Tere Minu nimi on Chris ja olen youtuber nüüd vaata ka minu discordi,@chrispoiss,37,2831,77,False,2023-04-04T08:36:46.173127Z,,,,UU9HGtxPEyaMCg-Yapj5c0vA,"https://en.wikipedia.org/wiki/Role-playing_video_game, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Action-adventure_game",vaatame
UCPQV9kCE_00gPH6OD0plLrw,Heigo Kosemets,,@heigokosemets156,0,1628,11,False,2013-03-09T19:13:06Z,,,,UUPQV9kCE_00gPH6OD0plLrw,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Sport, https://en.wikipedia.org/wiki/Association_football",eesti jalgpall
UCtUUs73O0x_A3LIzHhc20qw,Johanna,"✨just a girl✨, kes otsustas ühel heal päeval endale YouTube’i kanal teha….",@johannuska,29,736,8,False,2024-10-13T18:32:53.032457Z,EE,,"vlogging ""trying different snacks"" ""everyday life""",UUtUUs73O0x_A3LIzHhc20qw,"https://en.wikipedia.org/wiki/Food, https://en.wikipedia.org/wiki/Lifestyle_(sociology)",proovime
UCfY025lKDHcTZI-cns9osqw,FC Tallinn,"Футбольная школа ФК «Таллинн» основана в 2017 году. Несмотря на то, что клубу всего 2 года, в сезоне детско-юношеских чемпионатов Эстонии по футболу 2018 года ФК «Таллинн» был представлен сразу 12 командами. В то время, как взрослая команда клуба примет участие в первенстве 2-й лиги Эстонии.

По состоянию на февраль 2020 года, в футбольной школе ФК «Таллинн» занимается 350 юных футболистов, включая детские группы от 4 до 7 лет. База клуба находится в крупнейшем районе Таллинна — Ласнамяэ. Тр",@fctallinn4617,488,72586,82,False,2020-08-13T10:29:32.648405Z,EE,,#fctallinn,UUfY025lKDHcTZI-cns9osqw,"https://en.wikipedia.org/wiki/Association_football, https://en.wikipedia.org/wiki/Sport",tallinn
UCuqH3nVdQNbTF4V3NPp9_Dg,MTÜ Mondo,"MTÜ Mondo on arengukoostööle, maailmaharidusele ja humanitaarabile pühendunud sõltumatu Eesti organisatsioon.

Mondo missioon on toetada haavatavas olukorras olevaid inimesi ja kogukondi enesega toimetulekuks ning tõsta Eesti avalikkuse teadlikkust maailma probleemidest ja nende võimalikest lahendustest.


MTÜ Mondo peamised tegevussuunad on:
1. Arengukoostöö koos sihtriikide kohalike partneritega. Töötatakse naiste (eelkõige lesed) ja laste (eelkõige orvud) ning erivajadustega inimeste toimetul",@mtymondo,341,284854,165,False,2013-03-20T10:34:02Z,EE,,,UUuqH3nVdQNbTF4V3NPp9_Dg,https://en.wikipedia.org/wiki/Society,eesti haridus
UCbItthOofdPDAURyXxor5SA,HendrikTeeb,"Jo!

Minu Patreon- patreon.com/HendrikTeeb
",@hendrikteeb,664,64962,28,False,2022-10-12T18:21:21.186907Z,,,,UUbItthOofdPDAURyXxor5SA,"https://en.wikipedia.org/wiki/Hobby, https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Tourism",eesti vlog
UCC9i20PvXcbDhiWnKwv3tww,Loodusvägi Eesti,"Toome sinuni tervise- ja keskkonnasõbraliku puhta toidu, mille puhul võib alati kindel olla heas maitses. 

💜 Loodusvägi - Loomulikult Öko!",@loodusvagieesti,4,9079,9,False,2024-12-12T18:01:39.250951Z,EE,,,UUC9i20PvXcbDhiWnKwv3tww,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Food",eesti toit
UCV2rzIuHdS9cY3HmGfLjmDQ,LihtsaltSuper,"Minecrafti videod | Eesti keeles
Soovid teha koostööd? Saada kiri meilile: LihtsaltSuper@gmail.com
FAQ: 
Kui vanad olete? 16 ; 17
Kui tihti teete uusi videosid? Proovime teha iga nädal ühe video, vahel rohkem.
Miks alustasite Youtube? Vaatasime, et Eesti minecrafti maastik on jäänud üsna hõredaks.
Kasulikud lingid: 
Discord: https://invite.gg/lihtsaltsuper
Instagram: https://www.instagram.com/lihtsaltsuper/
Facebook:  https://www.facebook.com/LihtsaltSuper-108043554272238/
TikTok: https://www.ti",@lihtsaltsuper,251,21613,42,False,2020-05-16T19:07:01.087114Z,EE,,,UUV2rzIuHdS9cY3HmGfLjmDQ,"https://en.wikipedia.org/wiki/Strategy_video_game, https://en.wikipedia.org/wiki/Action-adventure_game, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Role-playing_video_game, https://en.wikipedia.org/wiki/Simulation_video_game",proovime
UCw67Io5AgIfk7LN7NswF-HQ,Tartu Noorsootöö Keskus,"EST 
Tartu Noorsootöö keskus on Tartu Linnavalitsuse kultuuriosakonna allasutus, mis alustas tegevust 2. mail 2018. Keskuse eesmärgiks on innustava ja uuendusliku noorsootöö keskkonna loomine Tartu linna noortele, et neist kujuneksid tegusad, loovad ja õnnelikud inimesed.
Tartu Noorsootöö Keskusel on kolm tegutsemiskohta: Anne Noortekeskus (Uus 56, Tartu), Lille Noortekeskus (Lille 9, Tartu) ja Ilmatsalu Noortekeskus (Järve tee 8, Ilmatsalu).

RUS
Тартуский центр молодежной работы является подве",@tartunoorsootookeskus3158,176,38281,194,False,2020-01-28T14:12:06.288717Z,,,,UUw67Io5AgIfk7LN7NswF-HQ,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Technology",tartu
UCpfUcBuDs8jSozhcpD_W3Zw,Narva Art Residency,"Narva Art Residency (NART) is a cultural platform founded in 2015. It facilitates residencies, art exhibitions, talks and educational workshops. It is located in Narva city on the Estonian-Russian border on the historical Kreenholm site. The international artist-in-residency programme is open for artists operating across a wide range of disciplines, including Visual Arts, Music, Performance, Architecture, Design, Film, Literature, Curatorial Practices and more. It generates creative exchange bet",@narvaartresidency6888,29,3987,7,False,2021-06-01T10:49:00.816246Z,EE,,,UUpfUcBuDs8jSozhcpD_W3Zw,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Hobby, https://en.wikipedia.org/wiki/Knowledge",narva
UCs6jh-Lymv9jg1zmREs9qjA,Eesti Poliitika Arhiiv,,@eestipoliitikaarhiiv7230,2,1465,2,False,2019-01-24T09:39:03Z,EE,,eesti poliitika valimised poliitikud,UUs6jh-Lymv9jg1zmREs9qjA,"https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Television_program, https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Entertainment",eesti poliitika
UCkgDQusb_u62eQN6Fhrnbug,Jaak Madison,,@madisonjaak,2590,953750,355,False,2011-10-01T10:18:30Z,,,,UUkgDQusb_u62eQN6Fhrnbug,"https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Politics",eesti poliitika
UCGbdr9hszIajkyZMPNtAS0Q,Taskuhääling Rahva nimel,"Erakonna Eesti Rahvuslased ja Konservatiivid taskuhääling ""Rahva nimel"" toob vaatajateni teemasid ja inimesi elust enesest.  Räägime päevakajalistest teemadest, poliitikast, Eesti rahva väljakutsetest ja eluolust ning toome kuulajateni meie erakonna seisukohti ja nägemusi, et ühisel jõul, koos meie kuulajatega liikuda parema homse suunas.",@rahvanimel,252,19900,15,False,2024-10-07T19:37:01.56373Z,,,,UUGbdr9hszIajkyZMPNtAS0Q,"https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Politics",eesti taskuhääling
UCgXSuNhMpCypSluNZmlwo8A,KõnePulss,,@konepulss,257,16702,14,False,2025-03-16T19:29:26.538523Z,EE,,,UUgXSuNhMpCypSluNZmlwo8A,"https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society",eesti poliitika
UCR4xfxfiJaK5cOjcuBQaeqQ,Peeter Kuuskla,EESTI AK,@peeterkuuskla2315,1,606,15,False,2015-02-07T22:23:09Z,,,,UUR4xfxfiJaK5cOjcuBQaeqQ,https://en.wikipedia.org/wiki/Video_game_culture,eesti teadus
UCd1ZFpRweVVReCO85V6Qe_A,Eesti Laulud,,@eestilaulud703,72,24765,1,False,2013-08-12T07:51:31Z,,,,UUd1ZFpRweVVReCO85V6Qe_A,,eesti laulud
UCtlj3YiwP4LylAoz50fCiFw,SandidHoosPodcast,,@sandidhoospodcast,56,2963,31,False,2023-03-28T13:02:03.377472Z,,,,UUtlj3YiwP4LylAoz50fCiFw,https://en.wikipedia.org/wiki/Lifestyle_(sociology),eesti taskuhääling
UCOG0I0p41cMVo7zLI-4AOpw,NULA Inkubaator,,@nulainkubaator,76,5302,22,False,2024-03-27T21:23:51.104396Z,EE,,,UUOG0I0p41cMVo7zLI-4AOpw,https://en.wikipedia.org/wiki/Society,eesti taskuhääling
UCNSqlx7BiOcXLUo4J1Xe-tA,Rain Naljamees,Ma proovin teha palju naljakaid videoid,@rainnaljamees9835,23,4871,5,False,2018-08-14T19:11:51Z,EE,,,UUNSqlx7BiOcXLUo4J1Xe-tA,"https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment",eesti toit
UCklLBmcjTEAjNE_i6QcrjAg,Raiksz,"Heyhopsti! Mina olen Markus, 17 aastane poiss 11 aastase poisi ajuga.!’",@markusraigla,171,124922,9,False,2018-10-27T20:50:07Z,EE,,,UUklLBmcjTEAjNE_i6QcrjAg,"https://en.wikipedia.org/wiki/Role-playing_video_game, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Action-adventure_game, https://en.wikipedia.org/wiki/Strategy_video_game, https://en.wikipedia.org/wiki/Action_game",eesti sketš
UCikL6LpZaD7Nrja4iExuHDA,Majast Koduks,"Majast Koduks 2.0, Hiiumaa edition.
Lugu sellest, kuidas perekond Hinrikus ostis vana talu, selle üles ehitas, sellest kirjutas ja Instas jagas, seejärel maha müüs ning otsustas järgmise südamelähedase seikluse ette võtta hoopis Hiiumaal. 

Blogi: https://majastkoduks.ee/
Instagram: https://www.instagram.com/majastkoduks.ee/
",@majastkoduks,1910,439324,148,False,2021-04-05T12:54:41.078628Z,EE,,"Lifestyle motherhood ""crisis preparedness"" diy building farmhouse vlog manifestation",UUikL6LpZaD7Nrja4iExuHDA,https://en.wikipedia.org/wiki/Lifestyle_(sociology),hiiumaa
UC3pXCy-OnNjzul0Zugj_VZA,OlyBet Sports Bar Eesti,Sütel grillitud road ja parimad spordiülekanded kohe vabaduse väljaku kõrval!,@olybetsportsbareesti,14,945,12,False,2024-04-30T07:36:38.916213Z,,,,UU3pXCy-OnNjzul0Zugj_VZA,"https://en.wikipedia.org/wiki/Sport, https://en.wikipedia.org/wiki/Lifestyle_(sociology)",eesti sport
UClWyTGIu1orm-e5euZtBOKw,Eesti Noorsooteater,"Eesti Noorsooteater
www.eestinoorsooteater.ee",@nukukeskus,433,629272,319,False,2010-09-20T05:47:42Z,EE,,,UUlWyTGIu1orm-e5euZtBOKw,"https://en.wikipedia.org/wiki/Performing_arts, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Lifestyle_(sociology)",eesti taskuhääling
UCxbpUeoOTJiapNV4Ko8pgMg,Ainar Toit,,@ainartoit,91,26625,36,False,2009-05-08T11:59:14Z,,,Kummaline kaspar Otsus Mikk Sebastian Seb Maiken Madisson Ainar Toit Forwards Tartu,UUxbpUeoOTJiapNV4Ko8pgMg,https://en.wikipedia.org/wiki/Music,eesti toit
UCt2uk6hQndDCNqY0Hb1TelA,Ecodrive Eesti OÜ,"Autojuhtide alg ja täiendkoolitus. Ecodriving koolitus.
Autokool Ecodrive Tallinnas",@ecodriveeestiou8397,88,78658,9,False,2015-06-23T08:03:25Z,EE,,autojuhtide koolitus ja õppesõit,UUt2uk6hQndDCNqY0Hb1TelA,"https://en.wikipedia.org/wiki/Vehicle, https://en.wikipedia.org/wiki/Lifestyle_(sociology)",eesti õppimine
UCx9IOA6Y_LKMk7h0jKXQLSw,Comedy Estonia,"Comedy Estonia introduced Stand Up culture in Estonia over 10 years ago and has now grown into a fully fledged events promotion and artist management agency working across Finland, Estonia, Latvia and Lithuania.",@comedyestonialive,36300,26389664,316,False,2010-09-03T09:58:49Z,EE,,"comedy estonia ""comedy estonia"" stand-up standup louis ""louis zezeran"" ""matti mustonen"" live",UUx9IOA6Y_LKMk7h0jKXQLSw,"https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Humour, https://en.wikipedia.org/wiki/Music, https://en.wikipedia.org/wiki/Performing_arts",eesti komöödia
UCmXzArx44HncWQXtbUrNXig,SEB Eesti,Tere tulemast SEB Eesti ametlikule lehele. Siit leiad meie reklaamklipid ja muud videod.,@sebeesti,1240,8494894,762,False,2010-06-07T08:58:58Z,EE,,SEB reklaamid perepakett kodupank pank Eesti Ühispank paketid kaart kaardid swedbank nordea,UUmXzArx44HncWQXtbUrNXig,"https://en.wikipedia.org/wiki/Knowledge, https://en.wikipedia.org/wiki/Society",eesti toit
UCR41MaTtBGZ-v9GUdAomUpA,Team 101%,"Podcastid, videod ja sündmused - 101% kirge ja pühendumust igas projektis

🎙 ""Lenksud kokku"" - Kõik motokrossist ausalt ja ilustamata.
Team 101% toob kokku Eesti motohuvilised.
",@team101percent,1890,269686,65,False,2022-04-25T18:21:52.890612Z,EE,,,UUR41MaTtBGZ-v9GUdAomUpA,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Sport, https://en.wikipedia.org/wiki/Motorsport, https://en.wikipedia.org/wiki/Vehicle",eesti vlog
UCOpJ0SgZeEgpVpPQ622izmQ,Eesti Üliõpilaskondade Liit,,@eestiuliopilaskondadeliit7801,21,1913,14,False,2012-08-26T19:57:25Z,,,"Poliitika tudengid ""Eesti Üliõpilaskondade Liit"" EÜL kõrgharidus ülikool",UUOpJ0SgZeEgpVpPQ622izmQ,"https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Knowledge",eesti õppimine
UCDSnf3dlXZTxaCdtwyUSXRQ,evert poom,"ikoon, staar, bravuuritar, glamuuritar",@evertpoom,27900,2124722,16,False,2015-09-03T07:12:02Z,EE,,"""evert poom"" eesti ringvaade ""marko reikop"" juutuuber poliitika uudised naljakas estonia estonian",UUDSnf3dlXZTxaCdtwyUSXRQ,"https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Film",eesti vlog
UCIc4u4SsssebO4e-kIJtlag,Nikita Avvakoumov,,@nikitaavvakoumov,5,579,80,False,2013-08-16T08:08:23Z,,,,UUIc4u4SsssebO4e-kIJtlag,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Knowledge, https://en.wikipedia.org/wiki/Technology",eesti programmeerimine
UCmOm5thPLpSEPxgCkqKoc-A,SYNLAB Eesti,"SYNLAB on Eesti suurim meditsiinilabor, mille ajalugu ulatub aastasse 1995. Meie eesmärk on pakkuda pere- ja eriarstidele ning haiglatele kvaliteetset ja laia valikut laboriteenuseid.Terviseteadlikel eraklientidel ning ettevõtetel on võimalik meie juures teha erinevaid tervisekontrolli pakette, analüüse ja laboriarsti konsultatsioone. Seda ikka selleks, et võimalikud kõrvalekalded varakult avastada ning terviseprobleeme ennetada. 

Sest Sina juhid oma tervist!
",@synlabeesti2465,248,965918,28,False,2020-01-02T12:06:26.180354Z,EE,,,UUmOm5thPLpSEPxgCkqKoc-A,"https://en.wikipedia.org/wiki/Health, https://en.wikipedia.org/wiki/Lifestyle_(sociology)",eesti
UC5-ZlCYcmXDCEet569rbCWw,Filmifestival Kino maale,,@filmifestivalkinomaale1873,5,3545,14,False,2014-08-22T11:51:19Z,,,,UU5-ZlCYcmXDCEet569rbCWw,"https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Film",eesti filmid
UCrSWmyZ-1ZI6b7XlGhCHjtQ,Endrik Puntso,"Olen Eesti parim ühest silmast pime stand-up koomik ja mul on enda podcast.

Täispikad podcasti episoodid:
https://blurbay.com/profile/puntso

",@endrik,1760,285284,105,False,2008-02-21T20:23:03Z,,,,UUrSWmyZ-1ZI6b7XlGhCHjtQ,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Entertainment",eesti podcast
UCf4_WpSC217Y5xWSvoz3amw,Goudin Podcast,,@goudinpodcast1234,76,6115,9,False,2021-10-24T07:02:22.723415Z,EE,,culture podcast,UUf4_WpSC217Y5xWSvoz3amw,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Health",eesti taskuhääling
UCqtArMCsmKJYE1H4a2_zyvA,Eesti Lauatenniseliit,Estonian Table Tennis Association,@lauatenniseliit,290,89475,79,False,2013-02-11T13:52:09Z,,,Estonian Table Tennis Association,UUqtArMCsmKJYE1H4a2_zyvA,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Sport, https://en.wikipedia.org/wiki/Tennis",eesti sport
UC6QEcv9_KAbBdt_aInRvaJg,Kesklinna Noortekeskus,"Kesklinna noortekeskuse sihtgrupiks on noored vanuses 14-26 eluaastat.
Keskuses toimuvad mitmed koolitused, seminarid, külalis- ja kultuuriõhtud, filmiklubi, töötoad ja muud sündmused. Kesklinna noortekeskus pakub noorteühingutele ja noorteorganisatsioonidele kontoriruumi ja võimalusi oma tegevuste läbiviimiseks. Keskuses on end sisse seadnud:

MTÜ AIESEC Eesti
MTÜ Tegusad Eesti Noored
MTÜ JA Alumni Estonia
MTÜ Shokkin Group
MTÜ AEGEE Tallinn

Ruume on võimalik kasutada ka erinevate noorsootöö t",@kesklinnanoortekeskus2198,53,5806,27,False,2014-05-14T13:42:29Z,,,,UU6QEcv9_KAbBdt_aInRvaJg,"https://en.wikipedia.org/wiki/Physical_fitness, https://en.wikipedia.org/wiki/Lifestyle_(sociology)",eesti kokkamine
UCY4U44gg4DxVffw_6P6yvvg,Raasiku valla ajalugu,"Millest﻿ on alguse saanud Raasiku vald? Kohisevatest mändidest, õitsevatest orhideedest, sulisevast Jägala jõest ja julmadest lahingutest Kiviloo linnuse ümber? Just neid ja ka tänaseid lugusid kogub Raasiku valla noortest koduloohuvilistest loodud Raasiku valla ajalooklubi. 
Roheline mänd sümboliseerib tervet meie koduvalda. Sind, mind ja naaberküla Antsu ka. Rohelise männi lood ei tähenda ainult ühe valla tekkimise lugu, see on terve vallapere vaimsuse lugu. Igaüks meist on osake sellest. Nii",@raasikuvallalugu,19,16576,20,False,2011-11-29T23:15:58Z,,,raasiku vald ajalugu,UUY4U44gg4DxVffw_6P6yvvg,"https://en.wikipedia.org/wiki/Music, https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Society",eesti ajalugu
